Player,Birth Date
Bob Arnzen,November 3 1947
Carlos Arroyo,July 30 1979
Darrell Arthur,March 25 1988
John Arthurs,August 15 1947
Jamel Artis,January 12 1993
Ömer A??k,July 4 1986
Vincent Askew,February 28 1966
Keith Askins,December 15 1967
Don Asmonga,February 15 1928
Dick Atha,September 21 1931
Chucky Atkins,August 14 1974
Al Attles*,November 7 1936
Chet Aubuchon,May 18 1916
Stacey Augmon,August 1 1968
D.J. Augustin,November 10 1987
James Augustine,February 27 1984
Isaac Austin,August 18 1969
Johnny Austin,August 31 1944
Ken Austin,July 15 1961
Deni Avdija,January 3 2001
Anthony Avent,October 18 1969
Bird Averitt,July 22 1952
William Avery,August 8 1979
Dennis Awtrey,February 22 1948
Joel Ayayi,March 5 2000
Gustavo Ayón,April 1 1985
Jeff Ayres,April 29 1987
Deandre Ayton,July 23 1998
Kelenna Azubuike,December 16 1983
Udoka Azubuike,September 17 1999
Chris Babb,February 14 1990
Luke Babbitt,June 20 1989
Miloš Babi?,November 23 1968
Johnny Bach,July 10 1924
Dwayne Bacon,August 30 1995
Henry Bacon,July 5 1948
Jim Baechtold,December 9 1927
Dalibor Bagari?,February 7 1980
John Bagley,April 23 1960
Marvin Bagley III,March 14 1999
Carl Bailey,April 23 1958
Gus Bailey,February 18 1951
James Bailey,May 21 1957
Thurl Bailey,April 7 1961
Toby Bailey,November 19 1975
Cameron Bairstow,December 7 1990
Jimmie Baker,December 25 1953
Mark Baker,November 11 1969
Maurice Baker,July 28 1979
Norm Baker,February 17 1923
Ron Baker,March 30 1993
Vin Baker,November 23 1971
Wade Baldwin,March 29 1996
Renaldo Balkman,July 14 1984
Cedric Ball,April 16 1968
LaMelo Ball,August 22 2001
Lonzo Ball,October 27 1997
Greg Ballard,January 29 1955
Herschel Baltimore,June 21 1921
Mo Bamba,May 12 1998
Desmond Bane,June 25 1998
Gene Banks,May 15 1959
Marcus Banks,November 19 1981
Walker Banks,August 26 1947
Ken Bannister,April 1 1960
Mike Bantom,December 3 1951
Dalano Banton,November 7 1999
Cat Barber,July 25 1994
John Barber,June 27 1927
Leandro Barbosa,November 28 1982
Steve Bardo,April 5 1968
J.J. Barea,June 26 1984
Andrea Bargnani,October 26 1985
Cliff Barker,January 15 1921
Tom Barker,March 11 1955
Charles Barkley*,February 20 1963
Erick Barkley,February 21 1978
Don Barksdale*,March 31 1923
Harrison Barnes,May 30 1992
Harry Barnes,July 25 1945
Jim Barnes,April 13 1941
Marvin Barnes,July 27 1952
Matt Barnes,March 9 1980
Scottie Barnes,August 1 2001
Dick Barnett,October 2 1936
Jim Barnett,July 7 1944
Nathaniel Barnett,January 29 1953
John Barnhill,March 20 1938
Norton Barnhill,July 15 1953
Leo Barnhorst,May 11 1924
John Barr,August 18 1918
Mike Barr,October 19 1950
Moe Barr,June 19 1944
Andre Barrett,February 21 1982
Ernie Barrett,August 27 1929
Mike Barrett,September 5 1943
RJ Barrett,June 14 2000
Earl Barron,August 14 1981
Dana Barros,April 13 1967
Brent Barry,December 31 1971
Drew Barry,February 17 1973
Jon Barry,July 25 1969
Rick Barry*,March 28 1944
Ed Bartels,October 8 1925
Vic Bartolome,September 29 1948
Will Barton,January 6 1991
Eddie Basden,February 15 1983
Jerry Baskerville,November 10 1951
Brandon Bass,April 30 1985
Paris Bass,August 29 1995
Tim Bassett,April 1 1951
Charles Bassey,October 28 2000
Maceo Baston,May 29 1975
Mengke Bateer,November 20 1975
Billy Ray Bates,May 31 1956
Keita Bates-Diop,January 23 1996
Esteban Batista,September 2 1983
Mike Batiste,November 21 1977
Tony Battie,February 11 1976
Shane Battier,September 9 1978
John Battle,November 9 1962
Kenny Battle,October 10 1964
Dave Batton,March 26 1956
Lloyd Batts,May 9 1951
Nicolas Batum,December 14 1988
Johnny Baum,June 17 1946
Frankie Baumholtz,October 7 1918
Lonny Baxter,January 27 1979
Jerryd Bayless,August 20 1988
Elgin Baylor*,September 16 1934
Howard Bayne,July 28 1942
Aron Baynes,December 9 1986
Sergei Bazarevich,March 16 1965
Kent Bazemore,July 1 1989
Darius Bazley,June 12 2000
Ed Beach,January 25 1929
Bradley Beal,June 28 1993
Al Beard,April 27 1942
Butch Beard,May 4 1947
Ralph Beard,December 2 1927
Charles Beasley,September 23 1945
Jerome Beasley,May 17 1980
John Beasley,February 5 1944
Malik Beasley,November 26 1996
Michael Beasley,January 9 1989
Zelmo Beaty*,October 25 1939
Rodrigue Beaubois,February 24 1988
Byron Beck,January 25 1945
Corey Beck,May 27 1971
Ernie Beck,December 11 1931
Arthur Becker,January 12 1942
Moe Becker,February 24 1917
Bob Bedell,June 26 1944
William Bedford,December 14 1963
Hank Beenders,June 2 1916
Ron Behagen,January 14 1951
Elmer Behnke,February 3 1929
Marco Belinelli,March 25 1986
Charlie Bell,March 12 1979
Dennis Bell,June 2 1951
Jordan Bell,January 7 1995
Raja Bell,September 19 1976
Troy Bell,November 10 1980
Whitey Bell,September 13 1932
Walt Bellamy*,July 24 1939
DeAndre' Bembry,July 4 1994
Irv Bemoras,November 18 1930
Leon Benbow,July 23 1950
Dragan Bender,November 17 1997
Jonathan Bender,January 30 1981
Jerrelle Benimon,August 1 1991
Benoit Benjamin,November 22 1964
Corey Benjamin,February 24 1978
Anthony Bennett,March 14 1993
Elmer Bennett,February 13 1970
Mario Bennett,August 1 1973
Mel Bennett,January 4 1955
Spider Bennett,August 4 1943
Tony Bennett,June 1 1969
Winston Bennett,February 9 1965
David Benoit,May 9 1968
Keith Benson,August 13 1988
Kent Benson,December 27 1954
Ben Bentil,March 29 1995
Gene Berce,November 22 1926
Gary Bergen,July 16 1932
Larry Bergh,April 2 1945
Ricky Berry,October 6 1964
Walter Berry,May 14 1964
Dairis Bert?ns,September 9 1989
D?vis Bert?ns,November 12 1992
Del Beshore,November 29 1956
Travis Best,July 12 1972
Patrick Beverley,July 12 1988
Saddiq Bey,April 9 1999
Tyler Bey,February 10 1998
Sim Bhullar,December 2 1992
Wesley Bialosuknia,June 8 1945
Al Bianchi,March 26 1932
Hank Biasatti,January 14 1922
Henry Bibby,November 24 1949
Mike Bibby,May 13 1978
Ed Biedenbach,August 12 1945
Andris Biedri?š,April 2 1986
Don Bielke,May 10 1932
Bob Bigelow,December 26 1953
Lionel Billingy,August 31 1952
Chauncey Billups,September 25 1976
Dave Bing*,November 24 1943
Joe Binion,March 26 1961
Khem Birch,September 28 1992
Jabari Bird,July 3 1994
Jerry Bird,February 2 1935
Larry Bird*,December 7 1956
Otis Birdsong,December 9 1955
Gale Bishop,June 4 1922
Goga Bitadze,July 20 1999
Bismack Biyombo,August 28 1992
Nemanja Bjelica,May 9 1988
Uwe Blab,March 26 1962
Charlie Black,June 15 1921
Norman Black,November 12 1957
Tarik Black,November 22 1991
Tom Black,July 9 1941
Rolando Blackman,February 26 1959
Alex Blackwell,June 27 1970
Cory Blackwell,March 27 1963
James Blackwell,February 25 1968
Nate Blackwell,February 15 1965
DeJuan Blair,April 22 1989
Steve Blake,February 26 1980
Antonio Blakeney,October 4 1996
Will Blalock,September 8 1983
George Blaney,November 12 1939
Lance Blanks,September 9 1966
Ricky Blanton,April 21 1966
Andray Blatche,August 22 1986
Mookie Blaylock,March 20 1967
Eric Bledsoe,December 9 1989
Keljin Blevins,November 24 1995
Leon Blevins,June 25 1926
John Block,April 16 1944
Mike Bloom,January 14 1915
Jaron Blossomgame,September 16 1993
Corie Blount,January 4 1969
Mark Blount,November 30 1975
Vander Blue,July 17 1992
Ray Blume,September 23 1958
Nelson Bobb,February 25 1924
Tony Bobbitt,October 22 1979
Bucky Bockhorn,July 8 1933
Tom Boerwinkle,August 23 1945
Keith Bogans,May 12 1980
Bogdan Bogdanovi?,August 18 1992
Bojan Bogdanovi?,April 18 1989
Muggsy Bogues,January 9 1965
Andrew Bogut,November 28 1984
Etdrick Bohannon,May 29 1973
Bol Bol,November 16 1999
Manute Bol,October 16 1962
Jonah Bolden,January 2 1996
Marques Bolden,April 17 1998
Bill Bolger,August 21 1931
Leandro Bolmaro,September 11 2000
Joel Bolomboy,January 28 1994
Doug Bolstorff,October 29 1931
George Bon Salle,July 1 1935
Phil Bond,July 27 1954
Walter Bond,February 1 1969
Jordan Bone,November 5 1997
Dexter Boney,April 27 1970
Isaac Bonga,November 8 1999
Ron Bonham,May 31 1942
Anthony Bonner,June 8 1968
Matt Bonner,April 5 1980
Butch Booker,July 20 1945
Devin Booker,October 30 1996
Melvin Booker,August 20 1972
Trevor Booker,November 25 1987
Josh Boone,November 21 1984
Ron Boone,September 6 1946
Calvin Booth,May 7 1976
Keith Booth,October 9 1974
Bob Boozer,April 26 1937
Carlos Boozer,November 20 1981
Curtis Borchardt,September 13 1980
Jake Bornheimer,June 29 1927
Lazaro Borrell,September 20 1972
Ike Borsavage,July 25 1924
Vince Boryla,March 11 1927
Chris Bosh*,March 24 1984
Jim Bostic,January 28 1953
Brandon Boston Jr.,November 28 2001
Lawrence Boston,May 18 1956
Tom Boswell,October 2 1953
Chris Boucher,January 11 1993
James Bouknight,September 18 2000
Ruben Boumtje-Boumtje,May 20 1978
Don Boven,March 6 1925
Cal Bowdler,March 31 1977
Brian Bowen,October 2 1998
Bruce Bowen,June 14 1971
Ryan Bowen,November 20 1975
Tommie Bowens,July 7 1940
Anthony Bowie,November 9 1963
Sam Bowie,March 17 1961
Orbie Bowling,March 21 1939
Ira Bowman,June 11 1973
Ky Bowman,June 16 1997
Nate Bowman,March 19 1943
Donnie Boyce,September 2 1973
Dennis Boyd,May 21 1954
Freddie Boyd,June 13 1950
Ken Boyd,March 25 1952
Earl Boykins,June 2 1976
Harry Boykoff,July 24 1922
Winford Boynes,May 17 1957
Cedric Bozeman,March 7 1983
Steve Bracey,August 1 1950
Craig Brackins,October 9 1987
Gary Bradds,July 26 1942
Alex Bradley,October 30 1959
Alonzo Bradley,October 16 1953
Avery Bradley,November 26 1990
Bill Bradley,June 16 1941
Bill Bradley*,July 28 1943
Charles Bradley,May 16 1959
Dudley Bradley,March 19 1957
Jim Bradley,March 16 1952
Joe Bradley,September 24 1928
Michael Bradley,April 18 1979
Shawn Bradley,March 22 1972
Tony Bradley,January 8 1998
Mark Bradtke,September 27 1968
Marques Bragg,March 24 1970
Torraye Braggs,May 15 1976
A.J. Bramlett,January 10 1977
Adrian Branch,November 17 1963
Elton Brand,March 11 1979
Terrell Brandon,May 20 1970
Bob Brannum,May 28 1926
Brad Branson,September 24 1958
Jesse Branson,January 7 1942
Jarrell Brantley,June 7 1996
Jim Brasco,February 3 1931
Mike Bratz,October 17 1955
Carl Braun*,September 25 1927
Ignas Brazdeikis,January 8 1999
Tim Breaux,September 19 1970
J.R. Bremer,September 19 1980
Pete Brennan,September 23 1936
Tom Brennan,August 6 1930
Randy Breuer,October 11 1960
Corey Brewer,March 5 1986
Jamison Brewer,November 19 1980
Jim Brewer,December 3 1951
Ron Brewer,July 16 1955
Ronnie Brewer,March 20 1985
Primož Brezec,October 2 1979
Frankie Brian,May 1 1923
Frank Brickowski,August 14 1959
Junior Bridgeman,September 17 1953
Bill Bridges,April 4 1939
Mikal Bridges,August 30 1996
Miles Bridges,March 21 1998
Al Brightman,September 22 1923
Amida Brimah,February 11 1994
Aud Brindley,December 31 1923
Isaiah Briscoe,April 13 1996
John Brisker,June 15 1947
Oshae Brissett,June 20 1998
Allan Bristow,August 23 1951
Tyrone Britt,April 18 1944
Wayman Britt,August 31 1952
Mike Brittain,June 21 1963
Dave Britton,August 29 1958
Jon Brockman,March 20 1987
Ryan Broekhoff,August 23 1990
Jim Brogan,February 24 1958
Malcolm Brogdon,December 11 1992
Gary Brokaw,January 11 1954
Price Brookfield,May 11 1920
Aaron Brooks,January 14 1985
Armoni Brooks,June 5 1998
Dillon Brooks,January 22 1996
Kevin Brooks,October 12 1969
MarShon Brooks,January 26 1989
Michael Brooks,August 17 1958
Scott Brooks,July 31 1965
Andre Brown,May 12 1981
Anthony Brown,October 10 1992
Bob Brown,November 12 1923
Bobby Brown,September 24 1984
Bruce Brown,August 15 1996
Charlie Brown Jr.,February 2 1997
Chaundee Brown Jr.,December 4 1998
Chucky Brown,February 29 1968
Damone Brown,June 28 1979
Darrel Brown,March 14 1923
Dee Brown,November 29 1968
Dee Brown,August 17 1984
Derrick Brown,September 8 1987
Devin Brown,December 30 1978
Ernest Brown,May 17 1979
Fred Brown,August 7 1948
George Brown,October 30 1935
Gerald Brown,July 28 1975
Greg Brown III,September 1 2001
Harold Brown,October 2 1923
Jabari Brown,December 18 1992
Jaylen Brown,October 24 1996
John Brown,December 14 1951
Kedrick Brown,March 18 1981
Kwame Brown,March 10 1982
Larry Brown*,September 14 1940
Leon Brown,October 12 1919
Lewis Brown,February 19 1955
Lorenzo Brown,August 26 1990
Marcus Brown,April 3 1974
Markel Brown,January 29 1992
Mike Brown,July 19 1963
Moses Brown,October 13 1999
Myron Brown,November 3 1969
P.J. Brown,October 14 1969
Randy Brown,May 22 1968
Raymond Brown,July 5 1965
Rickey Brown,August 20 1958
Roger Brown*,May 22 1942
Roger Brown,February 23 1950
Shannon Brown,November 29 1985
Stan Brown,June 27 1929
Sterling Brown,February 10 1995
Tierre Brown,June 3 1979
Tony Brown,July 29 1960
Troy Brown Jr.,July 28 1999
Jim Browne,January 1 1930
Stanley Brundy,November 13 1967
Brian Brunkhorst,June 12 1945
George Bruns,August 30 1946
Jalen Brunson,August 31 1996
Rick Brunson,June 14 1972
Nicolás Brussino,March 2 1993
Elijah Bryant,April 19 1995
Em Bryant,November 4 1938
Joe Bryant,October 19 1954
Kobe Bryant*,August 23 1978
Mark Bryant,April 25 1965
Thomas Bryant,July 31 1997
Wallace Bryant,July 14 1959
Torgeir Bryn,August 8 1964
George Bucci,July 9 1953
Shaq Buchanan,January 30 1997
Joe Buckhalter,August 1 1937
Steve Bucknall,March 17 1966
Cleveland Buckner,August 17 1938
Greg Buckner,September 16 1976
Quinn Buckner,August 20 1954
Dave Budd,October 28 1938
Chase Budinger,May 22 1988
Walt Budko,July 30 1925
Jud Buechler,June 19 1968
Rodney Buford,November 2 1977
Matt Bullard,June 5 1967
Reggie Bullock,March 16 1991
Larry Bunce,July 29 1945
Greg Bunch,May 15 1956
Dick Bunt,July 13 1930
Bill Buntin,May 5 1942
Bill Bunting,August 26 1947
Ticky Burden,February 28 1953
Pat Burke,December 14 1973
Trey Burke,November 12 1992
Roger Burkman,May 22 1958
Alec Burks,July 20 1991
Antonio Burks,February 25 1980
Kevin Burleson,September 4 1979
Tom Burleson,February 24 1952
Jack Burmaster,December 23 1926
David Burns,July 3 1958
Evers Burns,August 24 1971
Jim Burns,September 21 1945
Scott Burrell,January 12 1971
Art Burris,April 7 1924
Junior Burrough,January 18 1973
Bob Burrow,June 29 1934
Deonte Burton,January 31 1994
Ed Burton,August 13 1939
Willie Burton,May 26 1968
Steve Burtt,November 5 1962
Don Buse,August 10 1950
David Bustion,August 30 1949
Donnie Butcher,February 8 1936
Al Butler,July 9 1938
Caron Butler,March 13 1980
Greg Butler,March 11 1966
Jackie Butler,March 10 1985
Jared Butler,August 25 2000
Jimmy Butler,September 14 1989
Mike Butler,October 22 1946
Mitchell Butler,December 15 1970
Rasual Butler,May 23 1979
Dwight Buycks,March 6 1989
Derrick Byars,April 25 1984
Andrew Bynum,October 27 1987
Will Bynum,January 4 1983
Marty Byrnes,April 30 1956
Tommy Byrnes,February 19 1923
Michael Bytzura,June 18 1922
Žarko ?abarkapa,May 21 1981
Barney Cable,July 29 1935
Bruno Caboclo,September 21 1995
Devontae Cacok,October 8 1996
Jason Caffey,June 12 1973
Michael Cage,January 28 1962
Gerry Calabrese,February 4 1925
Nick Calathes,February 7 1989
José Calderón,September 28 1981
Adrian Caldwell,July 4 1966
Jim Caldwell,January 28 1943
Joe Caldwell,November 1 1941
Kentavious Caldwell-Pope,February 18 1993
Bill Calhoun,November 4 1927
Corky Calhoun,November 1 1950
Demetrius Calip,November 18 1969
Tom Callahan,June 2 1921
Rick Calloway,December 12 1966
Ernie Calverley,January 30 1924
Mack Calvin,July 27 1947
Dexter Cambridge,January 29 1970
Marcus Camby,March 22 1974
Facundo Campazzo,March 23 1991
Elden Campbell,July 23 1968
Tony Campbell,May 7 1962
Isaiah Canaan,May 21 1991
Vlatko ?an?ar,April 10 1997
Devin Cannady,May 21 1996
Larry Cannon,April 12 1947
Clint Capela,May 18 1994
Derrick Caracter,May 4 1988
Frank Card,December 28 1944
Brian Cardinal,May 2 1977
Vernon Carey Jr.,February 25 2001
Howie Carl,June 7 1938
Chet Carlisle,November 2 1916
Geno Carlisle,August 13 1976
Rick Carlisle,October 27 1959
Don Carlos,March 3 1944
Al Carlson,September 17 1951
Don Carlson,March 22 1919
Bob Carney,August 3 1932
Rodney Carney,April 15 1984
Bob Carpenter,November 6 1917
Antoine Carr,July 23 1961
Austin Carr,March 10 1948
Chris Carr,March 12 1974
Cory Carr,December 5 1975
Kenny Carr,August 15 1955
M.L. Carr,January 9 1951
Darel Carrier,October 26 1940
Bob Carrington,July 3 1953
DeMarre Carroll,July 27 1986
Joe Barry Carroll,July 24 1958
Matt Carroll,August 28 1980
Jimmy Carruth,November 4 1969
Anthony Carter,June 16 1975
Butch Carter,June 11 1958
Fred Carter,February 14 1945
George Carter,January 10 1944
Howard Carter,October 26 1961
Jake Carter,July 25 1924
Jevon Carter,September 14 1995
Maurice Carter,October 12 1976
Reggie Carter,October 10 1957
Ron Carter,August 31 1956
Vince Carter,January 26 1977
Wendell Carter Jr.,April 16 1999
Michael Carter-Williams,October 10 1991
Bill Cartwright,July 30 1957
Jay Carty,July 4 1941
Alex Caruso,February 28 1994
Cornelius Cash,March 3 1952
Sam Cash,November 13 1950
Sam Cassell,November 18 1969
Omri Casspi,June 22 1988
Harvey Catchings,September 2 1951
Terry Catledge,August 22 1963
Sid Catlett,April 18 1948
Kelvin Cato,August 26 1974
Bobby Cattage,August 17 1958
Willie Cauley-Stein,August 18 1993
Troy Caupain,November 29 1995
Duane Causwell,May 31 1968
Tyler Cavanaugh,February 9 1994
Ron Cavenall,April 30 1959
Ahmad Caver,September 12 1996
Cedric Ceballos,August 2 1969
John Celestand,March 6 1977
Al Cervi*,February 12 1917
Lionel Chalmers,November 10 1980
Mario Chalmers,May 19 1986
Bill Chamberlain,December 16 1949
Wilt Chamberlain*,August 21 1936
Jerry Chambers,July 18 1943
Tom Chambers,June 21 1959
Justin Champagnie,June 29 2001
Mike Champion,April 5 1964
Tyson Chandler,October 2 1982
Wilson Chandler,May 10 1987
Don Chaney,March 22 1946
John Chaney,February 29 1920
Rex Chapman,October 5 1967
Wayne Chapman,June 15 1945
Len Chappell,January 31 1941
Ken Charles,July 10 1951
Lorenzo Charles,November 25 1963
Joe Chealey,November 1 1995
Calbert Cheaney,July 17 1971
Zylan Cheatham,November 17 1995
Maurice Cheeks*,September 8 1956
Phil Chenier,October 30 1950
Will Cherry,February 8 1991
Derrick Chievous,July 3 1967
Pete Chilcutt,September 14 1968
Josh Childress,June 20 1983
Randolph Childress,September 21 1972
Chris Childs,November 20 1967
Chris Chiozza,November 21 1995
Leroy Chollet,March 5 1925
Jim Chones,November 30 1949
Marquese Chriss,July 2 1997
Fred Christ,August 6 1930
Cal Christensen,June 6 1927
Bob Christian,May 11 1946
Doug Christie,May 9 1970
Dionte Christmas,September 15 1986
Rakeem Christmas,December 1 1991
Semaj Christon,November 1 1992
Josh Christopher,December 8 2001
Patrick Christopher,June 3 1988
Stephen Chubin,February 8 1944
Robert Churchwell,February 20 1972
Archie Clark,July 15 1941
Carlos Clark,August 10 1960
Earl Clark,January 17 1988
Gary Clark,November 16 1994
Ian Clark,March 7 1991
Keon Clark,April 16 1975
Richard Clark,January 5 1944
Brandon Clarke,September 19 1996
Coty Clarke,July 4 1992
Jordan Clarkson,June 7 1992
Gian Clavell,November 26 1993
Victor Claver,August 30 1988
John Clawson,May 15 1944
Charles Claxton,December 13 1970
Nic Claxton,April 17 1999
Speedy Claxton,May 8 1978
Jim Cleamons,September 13 1949
Mateen Cleaves,September 7 1977
Barry Clemens,May 1 1943
Chris Clemons,July 23 1997
Antonius Cleveland,February 2 1994
Nat Clifton*,October 13 1922
Bill Closs,January 8 1922
Keith Closs,April 3 1976
Paul Cloyd,June 13 1920
Bob Cluggish,September 18 1917
Ben Clyde,June 10 1951
Amir Coffey,June 17 1997
Richard Coffey,September 2 1965
Fred Cofield,January 4 1962
John Coker,October 28 1971
Norris Cole,October 13 1988
Ben Coleman,November 14 1961
Derrick Coleman,June 21 1967
E.C. Coleman,September 25 1950
Jack Coleman,May 23 1924
Norris Coleman,September 27 1961
Bimbo Coles,April 22 1968
Jason Collier,September 8 1977
Art Collins,April 14 1954
Don Collins,November 28 1958
Doug Collins,July 28 1951
James Collins,November 5 1973
Jarron Collins,December 2 1978
Jason Collins,December 2 1978
Jimmy Collins,November 24 1946
John Collins,September 23 1997
Mardy Collins,August 4 1984
Sherron Collins,March 18 1987
Zach Collins,November 19 1997
Kyle Collinsworth,October 3 1991
Darren Collison,August 23 1987
Nick Collison,October 26 1980
Joe Colone,January 23 1924
Bonzie Colson,January 12 1996
Sean Colson,July 1 1975
Steve Colter,July 24 1962
Glen Combs,October 30 1946
Leroy Combs,January 1 1961
John Comeaux,September 15 1943
Dallas Comegys,August 17 1964
Larry Comley,August 17 1939
Jeffrey Congdon,October 17 1943
Gene Conley,November 10 1930
Larry Conley,January 22 1944
Mike Conley,October 11 1987
Ed Conlin,September 2 1933
Marty Conlon,January 19 1968
Pat Connaughton,January 6 1993
Jimmy Conner,March 20 1953
Lester Conner,September 17 1959
Chuck Connors,April 10 1921
Will Conroy,December 8 1982
Anthony Cook,March 19 1967
Bert Cook,April 26 1929
Bobby Cook,April 1 1923
Brian Cook,December 4 1980
Daequan Cook,April 28 1987
Darwin Cook,August 6 1958
Jeff Cook,October 21 1956
Norm Cook,March 21 1955
Omar Cook,January 28 1982
Quinn Cook,March 23 1993
Tyler Cook,September 23 1997
Charles Cooke,July 1 1994
David Cooke,September 27 1963
Joe Cooke,August 14 1948
Jack Cooley,April 12 1991
Chuck Cooper*,September 29 1926
Duane Cooper,June 25 1969
Joe Cooper,September 1 1957
Michael Cooper,April 15 1956
Sharife Cooper,June 11 2001
Wayne Cooper,November 16 1956
Tom Copa,October 30 1964
Chris Copeland,March 17 1984
Hollis Copeland,December 20 1955
Lanard Copeland,July 16 1965
Tyrone Corbin,December 31 1962
Chris Corchiani,March 28 1968
Ken Corley,May 10 1920
Ray Corley,January 14 1928
Petr Cornelie,July 26 1995
Dave Corzine,April 25 1956
Larry Costello*,July 2 1931
Matt Costello,August 5 1993
Bryce Cotton,August 11 1992
Jack Cotton,October 25 1924
James Cotton,December 14 1975
John Coughran,September 12 1951
Mel Counts,October 16 1941
Steve Courtin,September 21 1942
Joe Courtney,October 17 1969
Marcus Cousin,December 18 1986
DeMarcus Cousins,August 13 1990
Bob Cousy*,August 9 1928
Robert Covington,December 14 1990
Dave Cowens*,October 25 1948
Chubby Cox,December 29 1955
Johnny Cox,November 1 1936
Wesley Cox,January 27 1955
Allen Crabbe,April 9 1992
Torrey Craig,December 19 1990
Chris Crawford,May 13 1975
